common_item,domain_item,score
Service,Service,100
AccessPoint,Point,1.0
AudioService,Service,1.0
CellularUserEquipment,Equipment,1.0
FileTransferService,Service,1.0
LiFiAccessPoint,Point,1.0
LiFiAssociation,Association,1.0
LiFiUserEquipment,Equipment,1.0
LTEAssociation,Association,1.0
SatelliteAssociation,Association,1.0
Service,Service,1.0
UserEquipment,Equipment,1.0
VideoService,Service,1.0
WiFiAccessPoint,Point,1.0
WiFiAssociation,Association,1.0
WiFiUserEquipment,Equipment,1.0
WirelessAssociation,Association,1.0
AccessPoint,ConnectionPoint,0.5
AccessPoint,PointCode,0.5
AccessPoint,PointSymbology,0.5
AccessPoint,LocalPoint,0.5
AccessPoint,MultiPoint,0.5
Action,LoyaltyAction,0.5
Action,PolicyAction,0.5
AudioService,ServiceDesigner,0.5
AudioService,ServiceSpecification,0.5
AudioService,ServiceCandidate,0.5
AudioService,ServiceCatalog,0.5
AudioService,ServiceRelationship,0.5
AudioService,ServiceRole,0.5
AudioService,ServicePackage,0.5
AudioService,ServiceBundle,0.5
AudioService,ServiceConfiguration,0.5
AudioService,ServiceOrder,0.5
AudioService,ServiceUsage,0.5
AudioService,ServiceTest,0.5
AudioService,ServicePerformance,0.5
AudioService,ServiceCapacity,0.5
AudioService,ServiceProblem,0.5
AudioService,ServiceDefinition,0.5
AudioService,ServiceTemplate,0.5
AudioService,ServiceProvider,0.5
AudioService,ServiceAnomaly,0.5
CellularUserEquipment,ProductUser,0.5
CellularUserEquipment,EquipmentHolder,0.5
Device,CoolingDevice,0.5
Device,PhysicalDevice,0.5
FileTransferService,ServiceDesigner,0.5
FileTransferService,ServiceSpecification,0.5
FileTransferService,ServiceCandidate,0.5
FileTransferService,ServiceCatalog,0.5
FileTransferService,ServiceRelationship,0.5
FileTransferService,ServiceRole,0.5
FileTransferService,ServicePackage,0.5
FileTransferService,ServiceBundle,0.5
FileTransferService,ServiceConfiguration,0.5
FileTransferService,ServiceOrder,0.5
FileTransferService,ServiceUsage,0.5
FileTransferService,ServiceTest,0.5
FileTransferService,ServicePerformance,0.5
FileTransferService,ServiceCapacity,0.5
FileTransferService,ServiceProblem,0.5
FileTransferService,ServiceDefinition,0.5
FileTransferService,ServiceTemplate,0.5
FileTransferService,ServiceProvider,0.5
FileTransferService,P2PFile,0.5
FileTransferService,ServiceAnomaly,0.5
LiFiAccessPoint,ConnectionPoint,0.5
LiFiAccessPoint,PointCode,0.5
LiFiAccessPoint,PointSymbology,0.5
LiFiAccessPoint,LocalPoint,0.5
LiFiAccessPoint,MultiPoint,0.5
LiFiAssociation,AssociationRole,0.5
LiFiAssociation,AssociationSpecification,0.5
LiFiUserEquipment,ProductUser,0.5
LiFiUserEquipment,EquipmentHolder,0.5
Link,TopologicalLink,0.5
Link,PhysicalLink,0.5
LTEAssociation,AssociationRole,0.5
LTEAssociation,AssociationSpecification,0.5
PhysicalInfrastructure,PhysicalLink,0.5
PhysicalInfrastructure,PhysicalResource,0.5
PhysicalInfrastructure,PhysicalConnector,0.5
PhysicalInfrastructure,PhysicalContainer,0.5
PhysicalInfrastructure,PhysicalPort,0.5
PhysicalInfrastructure,PhysicalCapacity,0.5
PhysicalInfrastructure,PhysicalComponent,0.5
PhysicalInfrastructure,PhysicalDevice,0.5
SatelliteAssociation,AssociationRole,0.5
SatelliteAssociation,AssociationSpecification,0.5
