ABE_Name;BE_Name;Attribute_Name;Documentation;;;;
Business Entity.Market & Sales Domain;;;The Market & Sales Domain represents roles, information and activities pertaining to marketing and sales strategy, capability delivery, lifecycle management and support of parties (e.g. individuals / organizations) that move through sales lifecycle stages (e.g. contact / lead / prospect) as they learn about, inquire, choose, negotiate, order and are supported for goods and services (i.e. products) that are offered by an enterprise. On the Sales side, this includes sales contacts / leads / prospects through to the sales force and sales statistics. Market includes market strategy and plans, market segments, competitors and their products, through to campaign formulation and reporting.;;;;
Market & Sales Domain.Market Sales Party Roles ABE;;;Market Sales Party Roles ABE contains all PartyRoles related to the Market Sales Domain such as MarketingManager, SalesAgent...;;;;
;MarketingCampaignRole;;A MarketingCampaignRole is a type of PartyRole involved in OperationalMarketingCampaigns and/or in MarketingCampaigns such as MarketingManager and MarketingOperator.;;;;
;;status;Used to track the lifecycle status, e.g. existing, prospective or former customers.;;;;
;;validFor;The time period that the PartyRole is valid for;;;;
;;description;"This is a string, and defines a textual free-form description of the object.

Notes:

This attribute doesn’t exist in M.3100. The CIM has two attributes for this purpose, Caption (a short description) and Description.";;;;
;;ID;Unambiguously distinguishes different object instances.;;;;
;;name;Represents a user-friendly identifier of an object. It is a (possibly ambiguous) name by which the object is commonly known in some limited scope (such as an organization) and conforms to the naming conventions of the country or culture with which it is associated. It is NOT used as a naming attribute (i.e., to uniquely identify an instance of the object).;;;;
;MarketingDesigner;;The marketing campaign Designer is responsible for the set-up of the campaign. He generates the target list and produces the campaign follow-up reports. He is in charge to monitor the campaign management performance in real time as the campaign is being executed and to propose corrective actions if necessary.;;;;
;;status;Used to track the lifecycle status, e.g. existing, prospective or former customers.;;;;
;;validFor;The time period that the PartyRole is valid for;;;;
;;description;"This is a string, and defines a textual free-form description of the object.

Notes:

This attribute doesn’t exist in M.3100. The CIM has two attributes for this purpose, Caption (a short description) and Description.";;;;
;;ID;Unambiguously distinguishes different object instances.;;;;
;;name;Represents a user-friendly identifier of an object. It is a (possibly ambiguous) name by which the object is commonly known in some limited scope (such as an organization) and conforms to the naming conventions of the country or culture with which it is associated. It is NOT used as a naming attribute (i.e., to uniquely identify an instance of the object).;;;;
;MarketingManager;;"A MarketingManager is a role played by a Party. A MarketingManager is responsible for the Marketing management process. It is the process  of developing strategies and planning for product or services, advertising, promotions, sales to reach desired customer segment. 

The marketing campaign manager manages the definition, the planning, the budget, the execution and the monitoring of OperationalMarketingPlan and MarketingCampaigns. He is also in charge to validate the design and the implementation of the marketing campaign.";;;;
;;status;Used to track the lifecycle status, e.g. existing, prospective or former customers.;;;;
;;validFor;The time period that the PartyRole is valid for;;;;
;;description;"This is a string, and defines a textual free-form description of the object.

Notes:

This attribute doesn’t exist in M.3100. The CIM has two attributes for this purpose, Caption (a short description) and Description.";;;;
;;ID;Unambiguously distinguishes different object instances.;;;;
;;name;Represents a user-friendly identifier of an object. It is a (possibly ambiguous) name by which the object is commonly known in some limited scope (such as an organization) and conforms to the naming conventions of the country or culture with which it is associated. It is NOT used as a naming attribute (i.e., to uniquely identify an instance of the object).;;;;
;MarketingOperator;;The marketing campaign Operator is responsible for executing the campaign. He executes and tracks communication interactions with Parties using Media or communicationModes.;;;;
;;status;Used to track the lifecycle status, e.g. existing, prospective or former customers.;;;;
;;validFor;The time period that the PartyRole is valid for;;;;
;;description;"This is a string, and defines a textual free-form description of the object.

Notes:

This attribute doesn’t exist in M.3100. The CIM has two attributes for this purpose, Caption (a short description) and Description.";;;;
;;ID;Unambiguously distinguishes different object instances.;;;;
;;name;Represents a user-friendly identifier of an object. It is a (possibly ambiguous) name by which the object is commonly known in some limited scope (such as an organization) and conforms to the naming conventions of the country or culture with which it is associated. It is NOT used as a naming attribute (i.e., to uniquely identify an instance of the object).;;;;
;Prospect;;A Prospect is a type of PartyRole played by a Party specifying the Party is a potential buyer of Products from the Service Provider. A Party playing a SalesLead role may play later several other PartyRoles such as Prospect and eventually Customer. The Party playing a SalesLead might be a Customer for some offers or not. Businesses gain access to sales leads through advertising, trade shows, direct mailings, third parties, and other marketing efforts.;;;;
;;status;Used to track the lifecycle status, e.g. existing, prospective or former customers.;;;;
;;validFor;The time period that the PartyRole is valid for;;;;
;;description;"This is a string, and defines a textual free-form description of the object.

Notes:

This attribute doesn’t exist in M.3100. The CIM has two attributes for this purpose, Caption (a short description) and Description.";;;;
;;ID;Unambiguously distinguishes different object instances.;;;;
;;name;Represents a user-friendly identifier of an object. It is a (possibly ambiguous) name by which the object is commonly known in some limited scope (such as an organization) and conforms to the naming conventions of the country or culture with which it is associated. It is NOT used as a naming attribute (i.e., to uniquely identify an instance of the object).;;;;
