Attribute_Name;Origin;Stereotype;Documentation;;;;
description;TroubleTicket;«JSON::JSON_Attribute»;Description of the trouble or issue;;;;
name;TroubleTicket;«JSON::JSON_Attribute»;Name of the trouble ticket, typically a short description provided by the user that create the ticket;;;;
(un)applicableCode;PerformanceApplicability;;Indicator that specifies whether an instance represents applicability or un-applicability.;;;;
(un)applicableDays;PerformanceApplicability;;A day or days representing applicability or un-applicability.  For example 2, 3 represent Monday and Tuesday.;;;;
(un)applicableDuring;PerformanceApplicability;;A period of time representing applicability or un-applicability. For example, from 8AM to 12PM.;;;;
amount;EmployeePay;;"The amount corresponds to the sum of each EmployeePayComponent amount (calculated if it's a rate) for the EmployeePay period.

It specifies the unit (any currency) and the value such as $10.";;;;
amoutPeriod;EmployeePay;;amountPeriod specifies the duration covered by the amount. For example, the amount may correspond to a complete Year.;;;;
abbreviation;TimeZoneRule;;;;;;
acceptableEquipmentList;EquipmentHolder;«required»;This is an array of strings, based on M.3100, that identifies the types of equipment objects that can be supported by this object. This is an optional attribute.;;;;
acceptableEquipmentList;EquipmentHolder;«required»;This is an array of strings, based on M.3100, that identifies the types of equipment objects that can be supported by this object. This is an optional attribute.;;;;
acceptableEquipmentList;EquipmentHolder;«required»;This is an array of strings, based on M.3100, that identifies the types of equipment objects that can be supported by this object. This is an optional attribute.;;;;
acceptableEquipmentList;EquipmentHolder;«required»;This is an array of strings, based on M.3100, that identifies the types of equipment objects that can be supported by this object. This is an optional attribute.;;;;
acceptableEquipmentList;EquipmentHolder;«required»;This is an array of strings, based on M.3100, that identifies the types of equipment objects that can be supported by this object. This is an optional attribute.;;;;
acceptableEquipmentList;EquipmentHolder;«required»;This is an array of strings, based on M.3100, that identifies the types of equipment objects that can be supported by this object. This is an optional attribute.;;;;
acceptableEquipmentList;EquipmentHolder;«required»;This is an array of strings, based on M.3100, that identifies the types of equipment objects that can be supported by this object. This is an optional attribute.;;;;
acceptableEquipmentList;EquipmentHolder;«required»;This is an array of strings, based on M.3100, that identifies the types of equipment objects that can be supported by this object. This is an optional attribute.;;;;
acceptableEquipmentList;EquipmentHolder;«required»;This is an array of strings, based on M.3100, that identifies the types of equipment objects that can be supported by this object. This is an optional attribute.;;;;
acceptableEquipmentTypeList;EquipmentHolder;«required»;This attribute identifies the types of equipment that can be supported by the Equipment Holder.;;;;
acceptableEquipmentTypeList;EquipmentHolder;«required»;This attribute identifies the types of equipment that can be supported by the Equipment Holder.;;;;
acceptableEquipmentTypeList;EquipmentHolder;«required»;This attribute identifies the types of equipment that can be supported by the Equipment Holder.;;;;
acceptableEquipmentTypeList;EquipmentHolder;«required»;This attribute identifies the types of equipment that can be supported by the Equipment Holder.;;;;
acceptableEquipmentTypeList;EquipmentHolder;«required»;This attribute identifies the types of equipment that can be supported by the Equipment Holder.;;;;
acceptableEquipmentTypeList;EquipmentHolder;«required»;This attribute identifies the types of equipment that can be supported by the Equipment Holder.;;;;
acceptableEquipmentTypeList;EquipmentHolder;«required»;This attribute identifies the types of equipment that can be supported by the Equipment Holder.;;;;
acceptableEquipmentTypeList;EquipmentHolder;«required»;This attribute identifies the types of equipment that can be supported by the Equipment Holder.;;;;
acceptableEquipmentTypeList;EquipmentHolder;«required»;This attribute identifies the types of equipment that can be supported by the Equipment Holder.;;;;
acceptedAmount;DAAAccepted;;The amount which the enterprise agreed to refund the Customer as a result of this DisputedAmount. This amount is less or equal the disputedAmount (in DAACreated entity), pending of the DisputedAmount was partially or completely accepted respectively.;;;;
accessClassification;CalendarEntry;«required»;"The access intended for this entry
Permitted Values: PUBLIC, PRIVATE or CONFIDENTIAL";;;;
accessClassification;CalendarEntry;«required»;"The access intended for this entry
Permitted Values: PUBLIC, PRIVATE or CONFIDENTIAL";;;;
accessClassification;CalendarEntry;«required»;"The access intended for this entry
Permitted Values: PUBLIC, PRIVATE or CONFIDENTIAL";;;;
accessClassification;CalendarEntry;«required»;"The access intended for this entry
Permitted Values: PUBLIC, PRIVATE or CONFIDENTIAL";;;;
accessClassification;CalendarEntry;«required»;"The access intended for this entry
Permitted Values: PUBLIC, PRIVATE or CONFIDENTIAL";;;;
accessClassification;CalendarEntry;«required»;"The access intended for this entry
Permitted Values: PUBLIC, PRIVATE or CONFIDENTIAL";;;;
accessClassification;CalendarEntry;«required»;"The access intended for this entry
Permitted Values: PUBLIC, PRIVATE or CONFIDENTIAL";;;;
accessClassification;CalendarEntry;«required»;"The access intended for this entry
Permitted Values: PUBLIC, PRIVATE or CONFIDENTIAL";;;;
accessDecision;NACSecurityEvent;«required»;Final decision by the NAC to permit or deny access to the network (Permit/Deny).;;;;
accessLevel;SecurityIncidentImpact;;Level of access obtained by the intruder, such as Root or User access.;;;;
accountNameInThirdParty;ThirdPartyCollectionPM;«required»;The account, which is used in the third party, used to pay. If bank transfer is used here,  paymentAccountinThirdParty is BankAccount. If paymet tool (such as PayPal) is used here, paymentAccountInThirdPart is the payment tool (such as PayPal) account.;;;;
accuracy;MetricDefMeasure;«required»;The number of digits of accuracy captured for Metrics associated with a MetricDefMeasure.;;;;
