Process;Process_id;Level;extended_Description;brief_description;Domain;Vertical_Group;Original_id;M_Level;Framework Status
Market Strategy & Policy;01.01.2001;2;Market Strategy & Policy processes enable the development of a strategic view of an enterprises existing and desired market-place, activities and aims. Market segmentation and analysis is performed, to determine an enterprises target and addressable markets, along with the development of marketing strategies for each market segment or set of target customers. The decision is made as to which markets the enterprise wants or needs to be in, and how it plans to enter or grow in these markets and market segments. This will be achieved through multiple inputs: including Enterprise Strategies, Market Research, Market Analysis.;Enable the development of a strategic view of an enterprises existing and desired market-place;Market & Sales Domain;Strategy Management;1.2.1.1;4;Released
Gather & Analyze Market Information;1.1.1.1;3;Gather & Analyze Market Information processes develop enterprise and business views of the market, based on the analysis of external and internal information sources. These processes include the establishment and management of relationships with external providers of market information, and the management of internal resources used for providing market information. Methodologies used for developing market forecasts, as well as the development of forecasts, are managed within these processes.;Research market information and develop market forecasts;Market & Sales Domain;Strategy Management;1.2.1.1.1;4;Released
Gather Market Information;1.1.1.1.1;4;Gather Market information processes focus on establishment and Management of relationships with external providers of market information, and management of internal resources used for providing market information.;Establishment and Management of external Providers and internal resources for providing market information.;Market & Sales Domain;Strategy Management;1.2.1.1.1.1;4;Released
Analyze Market Information;1.1.1.1.2;4;Analyze Market information processes focus on developing enterprise and business views of the market, based on the analysis of the external and internal information sources. Methodologies used for developing market forecasts, as well as the development of forecasts is managed by this process.;Develop enterprise and business views of the market.;Market & Sales Domain;Strategy Management;1.2.1.1.1.2;4;Released
Establish Market Strategy;1.1.1.2;3;Establish Market Strategy processes result in agreement across the enterprise with respect to the markets in which the enterprise will participate, the objectives to be achieved, and the broad strategies to be followed to achieve the objectives. A key subset of the market strategy is the development of appropriate sales strategies to support the market strategy. These processes also identify the areas across the enterprise responsible for the achievement of specific objectives.;Develop and document the enterprise market strategy.;Market & Sales Domain;Strategy Management;1.2.1.1.2;4;Released
Establish Market Participation;1.1.1.2.1;4;Establish Market Participation processes focus on agreement across the enterprise with respect to markets in which the enterprise will participate.;Agreement on Markets in which Enterprise will Participate.;Market & Sales Domain;Strategy Management;1.2.1.1.2.1;4;Released
Establish Market Strategy Objectives;1.1.1.2.2;4;Establish Market Strategy Objectives processes focus on defining the Objectives to be achieved and the broad strategies to be followed to achieve the objectives;Define Objectives, strategies to be followed to achieve objectives.;Market & Sales Domain;Strategy Management;1.2.1.1.2.2;4;Released
Support Market Strategy;1.1.1.2.3;4;Support Market strategy processes focus on developing appropriate sales strategies.;Develop sales strategies to support market strategies.;Market & Sales Domain;Strategy Management;1.2.1.1.2.3;4;Released
Identify Enterprise areas to meet market strategy objectives;1.1.1.2.4;4;Not used for this process element;Identify the areas across the enterprise responsible for the achievement of specific objectives.;Market & Sales Domain;Strategy Management;1.2.1.1.2.4;4;Released
Establish Market Segments;1.1.1.3;3;Establish Market Segments processes identify the market segmentation which will be used across the enterprise. These processes identify the areas within the organization responsible for the management of market segment outcomes, as well as identifying and managing reporting processes for specific market segments.;Establish the market segmentation to be used across the enterprise.;Market & Sales Domain;Strategy Management;1.2.1.1.3;4;Released
Identify Market Segments;1.1.1.3.1;4;Identify Market Segments process are responsible for identifying the market segmentation which will be used across the enterprise.;Identify the market segmentation.;Market & Sales Domain;Strategy Management;1.2.1.1.3.1;4;Released
Manage Market Segments outcome;1.1.1.3.2;4;Manage Market Segments outcome process focus on identifying the areas with in the organization which are responsible for the management of market segment outcomes.;Management of market segments outcome.;Market & Sales Domain;Strategy Management;1.2.1.1.3.2;4;Released
Reporting - Specific Market Segments;1.1.1.3.3;4;Not used for this process element;Identify and manage reporting process for specific market segments.;Market & Sales Domain;Strategy Management;1.2.1.1.3.3;4;Released
Link Market Segments & Products;1.1.1.4;3;The Link Market Segment and Product processes analyze the basic consumption profiles of market segments and associate these with the product families available, as well as identify potential new product families for the market segments. The processes analyze segment purchase and decision issues, and their geographic locations.;Analyze the basic consumption profiles of market segments and associate these with the product families available.;Market & Sales Domain;Strategy Management;1.2.1.1.4;4;Released
Link consumption profiles & available product families;1.1.1.4.1;4;"Link Market segments &amp; available product families processes analyze the basic consumption profiles of market segments and associate these with the product families available.";Link Market segments and available product families.;Market & Sales Domain;Strategy Management;1.2.1.1.4.1;4;Released
Identify potential new product families for market segments;1.1.1.4.2;4;Not used for this process element;Identify potential new product families for the market segments.;Market & Sales Domain;Strategy Management;1.2.1.1.4.2;4;Released
Analyze Market Segment purchase and issues;1.1.1.4.3;4;Not used for this process element;Analyze segment purchase and decision issues, and their geographic locations.;Market & Sales Domain;Strategy Management;1.2.1.1.4.3;4;Released
Gain Commitment to Marketing Strategy;1.1.1.5;3;The Gain Commitment to Market Strategy processes gain enterprise commitment to the market strategy and segmentation. These processes include all aspects of identification of stakeholders and negotiation to gain stakeholder approval.;Gain enterprise commitment to the market strategy and segmentation.;Market & Sales Domain;Strategy Management;1.2.1.1.5;4;Released
Identify Stakeholders to Market Strategy;1.1.1.5.1;4;Not used for this process element;Identify stakeholders of market strategy.;Market & Sales Domain;Strategy Management;1.2.1.1.5.1;4;Released
Gain Market Strategy Stakeholder approval;1.1.1.5.2;4;Not used for this process element;Negotiate & gain stakeholder approval for market strategy.;Market & Sales Domain;Strategy Management;1.2.1.1.5.2;4;Released
Gain Enterprise Commitment to Market Strategy;1.1.1.5.3;4;Not used for this process element;Gain Enterprise commitment to the market strategy and segmentation.;Market & Sales Domain;Strategy Management;1.2.1.1.5.3;4;Released
